Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age, Race
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,< 1 year,0,White,2106-3,5937,2514553,236.1
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,< 1 year,0,Black or African American,2054-5,2950,596604,494.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,< 1 year,0,White,2106-3,2861,2514553,113.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,< 1 year,0,White,2106-3,1318,2514553,52.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,< 1 year,0,Black or African American,2054-5,996,596604,166.9
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,< 1 year,0,Black or African American,2054-5,786,596604,131.7
,Motor Vehicle Traffic,GRINJ-008,18 years,18,White,2106-3,635,3165100,20.1
,Motor Vehicle Traffic,GRINJ-008,19 years,19,White,2106-3,616,3196082,19.3
,Suffocation,GRINJ-017,< 1 year,0,White,2106-3,612,2514553,24.3
,Firearm,GRINJ-006,19 years,19,Black or African American,2054-5,530,641058,82.7
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,< 1 year,0,More than one race,M,481,248278,193.7
,Firearm,GRINJ-006,18 years,18,Black or African American,2054-5,467,644039,72.5
,Motor Vehicle Traffic,GRINJ-008,17 years,17,White,2106-3,448,3186337,14.1
,Poisoning,GRINJ-015,19 years,19,White,2106-3,438,3196082,13.7
,Suffocation,GRINJ-017,< 1 year,0,Black or African American,2054-5,411,596604,68.9
,Firearm,GRINJ-006,19 years,19,White,2106-3,400,3196082,12.5
,Firearm,GRINJ-006,18 years,18,White,2106-3,393,3165100,12.4
,Non-Injury: All other diseases (Residual),GR113-111,< 1 year,0,White,2106-3,383,2514553,15.2
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,< 1 year,0,Asian,A,381,208368,182.8
,Firearm,GRINJ-006,17 years,17,Black or African American,2054-5,362,658589,55.0
,Firearm,GRINJ-006,17 years,17,White,2106-3,330,3186337,10.4
,Poisoning,GRINJ-015,18 years,18,White,2106-3,322,3165100,10.2
,Firearm,GRINJ-006,16 years,16,Black or African American,2054-5,302,680325,44.4
,Motor Vehicle Traffic,GRINJ-008,16 years,16,White,2106-3,291,3221097,9.0
,Firearm,GRINJ-006,16 years,16,White,2106-3,274,3221097,8.5
,Poisoning,GRINJ-015,17 years,17,White,2106-3,226,3186337,7.1
,Firearm,GRINJ-006,15 years,15,White,2106-3,226,3210067,7.0
,Firearm,GRINJ-006,15 years,15,Black or African American,2054-5,196,685557,28.6
,Motor Vehicle Traffic,GRINJ-008,15 years,15,White,2106-3,179,3210067,5.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,< 1 year,0,More than one race,M,175,248278,70.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,< 1 year,0,More than one race,M,168,248278,67.7
,Non-Injury: Diseases of Heart,GR113 055-068,< 1 year,0,White,2106-3,164,2514553,6.5
,Poisoning,GRINJ-015,16 years,16,White,2106-3,159,3221097,4.9
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,< 1 year,0,White,2106-3,145,2514553,5.8
,Motor Vehicle Traffic,GRINJ-008,19 years,19,Black or African American,2054-5,136,641058,21.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,1 year,1,White,2106-3,135,2540415,5.3
,Suffocation,GRINJ-017,19 years,19,White,2106-3,134,3196082,4.2
,Non-Injury: All other diseases (Residual),GR113-111,< 1 year,0,Black or African American,2054-5,129,596604,21.6
