Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,< 1 year,0,Male,M,5531,1864508,296.6
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,< 1 year,0,Female,F,4361,1784146,244.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,< 1 year,0,Male,M,2083,1864508,111.7
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,< 1 year,0,Female,F,1922,1784146,107.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,< 1 year,0,Male,M,1464,1864508,78.5
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,< 1 year,0,Female,F,1128,1784146,63.2
,Firearm,GRINJ-006,19 years,19,Male,M,875,2241042,39.0
,Firearm,GRINJ-006,18 years,18,Male,M,800,2228634,35.9
,Firearm,GRINJ-006,17 years,17,Male,M,655,2248723,29.1
,Suffocation,GRINJ-017,< 1 year,0,Male,M,629,1864508,33.7
,Motor Vehicle Traffic,GRINJ-008,18 years,18,Male,M,594,2228634,26.7
,Motor Vehicle Traffic,GRINJ-008,19 years,19,Male,M,588,2241042,26.2
,Firearm,GRINJ-006,16 years,16,Male,M,547,2287751,23.9
,Suffocation,GRINJ-017,< 1 year,0,Female,F,516,1784146,28.9
,Suffocation,GRINJ-017,< 1 year,0,Female,F,516,1784146,28.9
,Poisoning,GRINJ-015,19 years,19,Male,M,410,2241042,18.3
,Motor Vehicle Traffic,GRINJ-008,17 years,17,Male,M,407,2248723,18.1
,Firearm,GRINJ-006,15 years,15,Male,M,389,2290485,17.0
,Non-Injury: All other diseases (Residual),GR113-111,< 1 year,0,Male,M,339,1864508,18.2
,Motor Vehicle Traffic,GRINJ-008,16 years,16,Male,M,271,2287751,11.8
,Poisoning,GRINJ-015,18 years,18,Male,M,271,2228634,12.2
,Non-Injury: All other diseases (Residual),GR113-111,< 1 year,0,Female,F,255,1784146,14.3
,Motor Vehicle Traffic,GRINJ-008,18 years,18,Female,F,221,2128851,10.4
,Motor Vehicle Traffic,GRINJ-008,19 years,19,Female,F,221,2143573,10.3
,Firearm,GRINJ-006,14 years,14,Male,M,220,2205676,10.0
,Poisoning,GRINJ-015,19 years,19,Female,F,196,2143573,9.1
,Motor Vehicle Traffic,GRINJ-008,17 years,17,Female,F,190,2146325,8.9
,Poisoning,GRINJ-015,17 years,17,Male,M,184,2248723,8.2
,Motor Vehicle Traffic,GRINJ-008,15 years,15,Male,M,180,2290485,7.9
,Poisoning,GRINJ-015,18 years,18,Female,F,158,2128851,7.4
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,< 1 year,0,Male,M,145,1864508,7.8
,Non-Injury: Diseases of Heart,GR113 055-068,< 1 year,0,Male,M,143,1864508,7.7
,Poisoning,GRINJ-015,16 years,16,Male,M,134,2287751,5.9
,Suffocation,GRINJ-017,19 years,19,Male,M,133,2241042,5.9
,Non-Injury: All other diseases (Residual),GR113-111,19 years,19,Male,M,120,2241042,5.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,1 year,1,Male,M,117,1887461,6.2
,Motor Vehicle Traffic,GRINJ-008,16 years,16,Female,F,114,2178189,5.2
,Non-Injury: Diseases of Heart,GR113 055-068,< 1 year,0,Female,F,113,1784146,6.3
,Firearm,GRINJ-006,19 years,19,Female,F,112,2143573,5.2
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,< 1 year,0,Female,F,112,1784146,6.3
,Poisoning,GRINJ-015,17 years,17,Female,F,110,2146325,5.1
,Non-Injury: All other diseases (Residual),GR113-111,18 years,18,Male,M,109,2228634,4.9
,Drowning,GRINJ-002,2 years,2,Male,M,108,1847159,5.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,1 year,1,Female,F,103,1806761,5.7
,Firearm,GRINJ-006,18 years,18,Female,F,102,2128851,4.8
,Motor Vehicle Traffic,GRINJ-008,14 years,14,Male,M,102,2205676,4.6
,Firearm,GRINJ-006,13 years,13,Male,M,100,2161119,4.6
,Non-Injury: All other diseases (Residual),GR113-111,1 year,1,Male,M,99,1887461,5.2
,Non-Injury: Other diseases of respiratory system,GR113-089,< 1 year,0,Male,M,97,1864508,5.2
,Suffocation,GRINJ-017,16 years,16,Male,M,96,2287751,4.2
,Drowning,GRINJ-002,1 year,1,Male,M,95,1887461,5.0
,Suffocation,GRINJ-017,18 years,18,Male,M,94,2228634,4.2
,Non-Injury: All other diseases (Residual),GR113-111,17 years,17,Male,M,90,2248723,4.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,1 year,1,Male,M,89,1887461,4.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,17 years,17,Male,M,88,2248723,3.9
,Suffocation,GRINJ-017,17 years,17,Male,M,86,2248723,3.8
,Non-Injury: Influenza & Pneumonia,GR113 077-078,< 1 year,0,Male,M,84,1864508,4.5
,Firearm,GRINJ-006,17 years,17,Female,F,83,2146325,3.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,19 years,19,Male,M,82,2241042,3.7
,Poisoning,GRINJ-015,16 years,16,Female,F,82,2178189,3.8
,Unspecified Injury,GRINJ-020,< 1 year,0,Male,M,78,1864508,4.2
,Motor Vehicle Traffic,GRINJ-008,13 years,13,Male,M,76,2161119,3.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,18 years,18,Male,M,75,2228634,3.4
,Non-Injury: Septicemia,GR113-010,< 1 year,0,Male,M,75,1864508,4.0
,Firearm,GRINJ-006,16 years,16,Female,F,74,2178189,3.4
