Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,< 1 year,0,9892,3648654,271.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,< 1 year,0,4005,3648654,109.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,< 1 year,0,2592,3648654,71.0
,Suffocation,GRINJ-017,< 1 year,0,1145,3648654,31.4
,Firearm,GRINJ-006,19 years,19,987,4384615,22.5
,Firearm,GRINJ-006,18 years,18,902,4357485,20.7
,Motor Vehicle Traffic,GRINJ-008,18 years,18,815,4357485,18.7
,Motor Vehicle Traffic,GRINJ-008,19 years,19,809,4384615,18.5
,Firearm,GRINJ-006,17 years,17,738,4395048,16.8
,Firearm,GRINJ-006,16 years,16,621,4465940,13.9
,Poisoning,GRINJ-015,19 years,19,606,4384615,13.8
,Motor Vehicle Traffic,GRINJ-008,17 years,17,597,4395048,13.6
,Non-Injury: All other diseases (Residual),GR113-111,< 1 year,0,594,3648654,16.3
,Firearm,GRINJ-006,15 years,15,443,4472392,9.9
,Poisoning,GRINJ-015,18 years,18,429,4357485,9.8
,Motor Vehicle Traffic,GRINJ-008,16 years,16,385,4465940,8.6
,Poisoning,GRINJ-015,17 years,17,294,4395048,6.7
,Firearm,GRINJ-006,14 years,14,265,4308273,6.2
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,< 1 year,0,257,3648654,7.0
,Non-Injury: Diseases of Heart,GR113 055-068,< 1 year,0,256,3648654,7.0
,Motor Vehicle Traffic,GRINJ-008,15 years,15,251,4472392,5.6
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,1 year,1,220,3694222,6.0
,Poisoning,GRINJ-015,16 years,16,216,4465940,4.8
,Non-Injury: All other diseases (Residual),GR113-111,19 years,19,190,4384615,4.3
,Suffocation,GRINJ-017,19 years,19,176,4384615,4.0
,Non-Injury: All other diseases (Residual),GR113-111,18 years,18,166,4357485,3.8
,Non-Injury: All other diseases (Residual),GR113-111,1 year,1,161,3694222,4.4
,Non-Injury: Other diseases of respiratory system,GR113-089,< 1 year,0,158,3648654,4.3
,Non-Injury: All other diseases (Residual),GR113-111,17 years,17,157,4395048,3.6
,Drowning,GRINJ-002,2 years,2,152,3611883,4.2
,Drowning,GRINJ-002,1 year,1,150,3694222,4.1
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,1 year,1,149,3694222,4.0
,Suffocation,GRINJ-017,18 years,18,148,4357485,3.4
,Non-Injury: Influenza & Pneumonia,GR113 077-078,< 1 year,0,146,3648654,4.0
,Non-Injury: Septicemia,GR113-010,< 1 year,0,144,3648654,3.9
,Suffocation,GRINJ-017,16 years,16,143,4465940,3.2
,Motor Vehicle Traffic,GRINJ-008,14 years,14,141,4308273,3.3
,Non-Injury: Intestinal infections,GR113 001-003,< 1 year,0,138,3648654,3.8
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,19 years,19,136,4384615,3.1
,Unspecified Injury,GRINJ-020,< 1 year,0,136,3648654,3.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,16 years,16,135,4465940,3.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,15 years,15,135,4472392,3.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,17 years,17,134,4395048,3.0
,Non-Injury: All other diseases (Residual),GR113-111,15 years,15,133,4472392,3.0
,Suffocation,GRINJ-017,17 years,17,130,4395048,3.0
,Poisoning,GRINJ-015,15 years,15,129,4472392,2.9
,Firearm,GRINJ-006,13 years,13,129,4219014,3.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,18 years,18,123,4357485,2.8
,Non-Injury: All other diseases (Residual),GR113-111,16 years,16,121,4465940,2.7
,Suffocation,GRINJ-017,15 years,15,115,4472392,2.6
,Motor Vehicle Traffic,GRINJ-008,13 years,13,111,4219014,2.6
,Suffocation,GRINJ-017,14 years,14,109,4308273,2.5
,Non-Injury: All other diseases (Residual),GR113-111,13 years,13,109,4219014,2.6
,Poisoning,GRINJ-015,1 year,1,108,3694222,2.9
,Non-Injury: All other diseases (Residual),GR113-111,14 years,14,107,4308273,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,13 years,13,104,4219014,2.5
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,1 year,1,104,3694222,2.8
,Drowning,GRINJ-002,3 years,3,102,3747807,2.7
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,12 years,12,99,4134024,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,14 years,14,97,4308273,2.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,8 years,8,95,4110498,2.3
,Non-Injury: All other diseases (Residual),GR113-111,2 years,2,94,3611883,2.6
,Non-Injury: All other diseases (Residual),GR113-111,3 years,3,93,3747807,2.5
,Motor Vehicle Traffic,GRINJ-008,1 year,1,92,3694222,2.5
,Non-Injury: All other diseases (Residual),GR113-111,9 years,9,90,4097627,2.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,11 years,11,86,4089809,2.1
,Non-Injury: All other diseases (Residual),GR113-111,11 years,11,85,4089809,2.1
,Non-Injury: All other diseases (Residual),GR113-111,10 years,10,85,4083444,2.1
