Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,3344,1286961,259.8
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Female,F,2593,1227592,211.2
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Male,M,1620,302357,535.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,1512,1286961,117.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Female,F,1349,1227592,109.9
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Female,F,1330,294247,452.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,758,1286961,58.9
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Female,F,560,1227592,45.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Male,M,556,302357,183.9
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,18 years,18,White,2106-3,Male,M,469,1624405,28.9
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,19 years,19,White,2106-3,Male,M,468,1640102,28.5
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Female,F,440,294247,149.5
,Firearm,GRINJ-006,Homicide,3,19 years,19,Black or African American,2054-5,Male,M,404,324208,124.6
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Male,M,394,302357,130.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Female,F,392,294247,133.2
,Firearm,GRINJ-006,Homicide,3,18 years,18,Black or African American,2054-5,Male,M,365,326551,111.8
,Suffocation,GRINJ-017,Unintentional,1,< 1 year,0,White,2106-3,Male,M,332,1286961,25.8
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,17 years,17,White,2106-3,Male,M,314,1635178,19.2
,Firearm,GRINJ-006,Homicide,3,17 years,17,Black or African American,2054-5,Male,M,284,333117,85.3
,Poisoning,GRINJ-015,Unintentional,1,19 years,19,White,2106-3,Male,M,275,1640102,16.8
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,More than one race,M,Male,M,271,126722,213.9
