Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,5531,1864508,296.6
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,4361,1784146,244.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,2083,1864508,111.7
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,1922,1784146,107.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,1464,1864508,78.5
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,1128,1784146,63.2
,Suffocation,GRINJ-017,Unintentional,1,< 1 year,0,Male,M,597,1864508,32.0
,Suffocation,GRINJ-017,Unintentional,1,< 1 year,0,Female,F,499,1784146,28.0
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,18 years,18,Male,M,594,2228634,26.7
,Firearm,GRINJ-006,Homicide,3,19 years,19,Male,M,595,2241042,26.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,19 years,19,Male,M,588,2241042,26.2
,Firearm,GRINJ-006,Homicide,3,18 years,18,Male,M,566,2228634,25.4
,Firearm,GRINJ-006,Homicide,3,17 years,17,Male,M,430,2248723,19.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,< 1 year,0,Male,M,339,1864508,18.2
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,17 years,17,Male,M,407,2248723,18.1
,Poisoning,GRINJ-015,Unintentional,1,19 years,19,Male,M,367,2241042,16.4
,Firearm,GRINJ-006,Homicide,3,16 years,16,Male,M,362,2287751,15.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,< 1 year,0,Female,F,255,1784146,14.3
