Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,9892,3648654,271.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,4005,3648654,109.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,2592,3648654,71.0
,Suffocation,GRINJ-017,Unintentional,1,< 1 year,0,1096,3648654,30.0
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,18 years,18,815,4357485,18.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,19 years,19,809,4384615,18.5
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,< 1 year,0,594,3648654,16.3
,Firearm,GRINJ-006,Homicide,3,19 years,19,683,4384615,15.6
,Firearm,GRINJ-006,Homicide,3,18 years,18,642,4357485,14.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,17 years,17,597,4395048,13.6
,Poisoning,GRINJ-015,Unintentional,1,19 years,19,519,4384615,11.8
,Firearm,GRINJ-006,Homicide,3,17 years,17,484,4395048,11.0
,Firearm,GRINJ-006,Homicide,3,16 years,16,406,4465940,9.1
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,16 years,16,385,4465940,8.6
,Poisoning,GRINJ-015,Unintentional,1,18 years,18,360,4357485,8.3
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,< 1 year,0,257,3648654,7.0
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,< 1 year,0,256,3648654,7.0
,Firearm,GRINJ-006,Suicide,2,19 years,19,278,4384615,6.3
,Firearm,GRINJ-006,Homicide,3,15 years,15,272,4472392,6.1
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,1 year,1,220,3694222,6.0
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,15 years,15,251,4472392,5.6
,Poisoning,GRINJ-015,Unintentional,1,17 years,17,238,4395048,5.4
,Firearm,GRINJ-006,Suicide,2,18 years,18,229,4357485,5.3
,Firearm,GRINJ-006,Suicide,2,17 years,17,221,4395048,5.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,1 year,1,161,3694222,4.4
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,19 years,19,190,4384615,4.3
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,< 1 year,0,158,3648654,4.3
,Firearm,GRINJ-006,Suicide,2,16 years,16,191,4465940,4.3
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,1 year,1,149,3694222,4.0
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,< 1 year,0,146,3648654,4.0
,Drowning,GRINJ-002,Unintentional,1,2 years,2,144,3611883,4.0
,Poisoning,GRINJ-015,Unintentional,1,16 years,16,177,4465940,4.0
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,< 1 year,0,144,3648654,3.9
,Drowning,GRINJ-002,Unintentional,1,1 year,1,144,3694222,3.9
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,18 years,18,166,4357485,3.8
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,< 1 year,0,138,3648654,3.8
,Suffocation,GRINJ-017,Suicide,2,19 years,19,163,4384615,3.7
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,17 years,17,157,4395048,3.6
,Firearm,GRINJ-006,Homicide,3,14 years,14,144,4308273,3.3
,Firearm,GRINJ-006,Suicide,2,15 years,15,147,4472392,3.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,14 years,14,141,4308273,3.3
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,19 years,19,136,4384615,3.1
,Suffocation,GRINJ-017,Suicide,2,18 years,18,134,4357485,3.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,17 years,17,134,4395048,3.0
,Unspecified Injury,GRINJ-020,Homicide,3,< 1 year,0,111,3648654,3.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,16 years,16,135,4465940,3.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,15 years,15,135,4472392,3.0
,Suffocation,GRINJ-017,Suicide,2,16 years,16,134,4465940,3.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,15 years,15,133,4472392,3.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,18 years,18,123,4357485,2.8
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,1 year,1,104,3694222,2.8
,Suffocation,GRINJ-017,Suicide,2,17 years,17,123,4395048,2.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,16 years,16,121,4465940,2.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,13 years,13,111,4219014,2.6
,Drowning,GRINJ-002,Unintentional,1,3 years,3,98,3747807,2.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,2 years,2,94,3611883,2.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,13 years,13,109,4219014,2.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,1 year,1,92,3694222,2.5
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,14 years,14,107,4308273,2.5
