Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Black or African American,2054-5,Male,M,1642,6401519,25.7
,Firearm,GRINJ-006,Homicide,3,Black or African American,2054-5,Male,M,1637,6401519,25.6
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Black or African American,2054-5,Female,F,1347,6224035,21.6
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Native Hawaiian or Other Pacific Islander,NHOPI,Male,M,24,141294,17.0
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,White,2106-3,Male,M,3357,29519218,11.4
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,More than one race,M,Male,M,274,2473608,11.1
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,Black or African American,2054-5,Male,M,671,6401519,10.5
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,White,2106-3,Female,F,2616,28069688,9.3
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,More than one race,M,Female,F,212,2370648,8.9
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Asian,A,Male,M,218,2477040,8.8
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,Black or African American,2054-5,Female,F,530,6224035,8.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,Black or African American,2054-5,Male,M,526,6401519,8.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,Black or African American,2054-5,Female,F,498,6224035,8.0
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,Black or African American,2054-5,Male,M,502,6401519,7.8
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,American Indian or Alaska Native,1002-5,Male,M,56,715993,7.8
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,American Indian or Alaska Native,1002-5,Male,M,55,715993,7.7
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,American Indian or Alaska Native,1002-5,Female,F,51,687498,7.4
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Asian,A,Female,F,167,2357677,7.1
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,White,2106-3,Male,M,2016,29519218,6.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,White,2106-3,Male,M,1912,29519218,6.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,White,2106-3,Female,F,1652,28069688,5.9
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,Black or African American,2054-5,Male,M,354,6401519,5.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,American Indian or Alaska Native,1002-5,Female,F,38,687498,5.5
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,American Indian or Alaska Native,1002-5,Male,M,34,715993,4.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,More than one race,M,Male,M,112,2473608,4.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,American Indian or Alaska Native,1002-5,Female,F,31,687498,4.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,More than one race,M,Female,F,103,2370648,4.3
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,Black or African American,2054-5,Female,F,267,6224035,4.3
,Poisoning,GRINJ-015,Unintentional,1,American Indian or Alaska Native,1002-5,Male,M,30,715993,4.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,More than one race,M,Male,M,103,2473608,4.2
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,American Indian or Alaska Native,1002-5,Female,F,28,687498,4.1
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,Black or African American,2054-5,Female,F,246,6224035,4.0
,Firearm,GRINJ-006,Homicide,3,Black or African American,2054-5,Female,F,236,6224035,3.8
