Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Race
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single Race 6,Single Race 6 Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,White,2106-3,5973,57588906,10.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,White,2106-3,3564,57588906,6.2
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Black or African American,2054-5,2989,12625554,23.7
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,White,2106-3,2908,57588906,5.0
,Firearm,GRINJ-006,Homicide,3,Black or African American,2054-5,1873,12625554,14.8
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,White,2106-3,1736,57588906,3.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,White,2106-3,1671,57588906,2.9
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,White,2106-3,1340,57588906,2.3
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,Black or African American,2054-5,1201,12625554,9.5
,Poisoning,GRINJ-015,Unintentional,1,White,2106-3,1145,57588906,2.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,Black or African American,2054-5,1024,12625554,8.1
,Firearm,GRINJ-006,Homicide,3,White,2106-3,936,57588906,1.6
,Firearm,GRINJ-006,Suicide,2,White,2106-3,916,57588906,1.6
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,Black or African American,2054-5,769,12625554,6.1
,Suffocation,GRINJ-017,Unintentional,1,White,2106-3,744,57588906,1.3
,Suffocation,GRINJ-017,Suicide,2,White,2106-3,664,57588906,1.2
,Drowning,GRINJ-002,Unintentional,1,White,2106-3,601,57588906,1.0
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,Black or African American,2054-5,600,12625554,4.8
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,White,2106-3,516,57588906,0.9
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,More than one race,M,486,4844256,10.0
,Suffocation,GRINJ-017,Unintentional,1,Black or African American,2054-5,448,12625554,3.5
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,White,2106-3,444,57588906,0.8
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Asian,A,385,4834717,8.0
,Poisoning,GRINJ-015,Unintentional,1,Black or African American,2054-5,298,12625554,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,Black or African American,2054-5,295,12625554,2.3
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,White,2106-3,284,57588906,0.5
,Drowning,GRINJ-002,Unintentional,1,Black or African American,2054-5,266,12625554,2.1
