Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Male,M,5571,41728672,13.4
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,Female,F,4406,39845289,11.1
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,Male,M,2705,41728672,6.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,Male,M,2672,41728672,6.4
,Firearm,GRINJ-006,Homicide,3,Male,M,2503,41728672,6.0
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,Female,F,2384,39845289,6.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,Male,M,1820,41728672,4.4
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,Male,M,1507,41728672,3.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,Female,F,1375,39845289,3.5
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,Female,F,1262,39845289,3.2
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,Female,F,1125,39845289,2.8
,Firearm,GRINJ-006,Suicide,2,Male,M,1100,41728672,2.6
,Poisoning,GRINJ-015,Unintentional,1,Male,M,1031,41728672,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,Male,M,992,41728672,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,Female,F,837,39845289,2.1
,Suffocation,GRINJ-017,Unintentional,1,Male,M,750,41728672,1.8
,Drowning,GRINJ-002,Unintentional,1,Male,M,699,41728672,1.7
,Suffocation,GRINJ-017,Unintentional,1,Female,F,584,39845289,1.5
,Poisoning,GRINJ-015,Unintentional,1,Female,F,549,39845289,1.4
,Suffocation,GRINJ-017,Suicide,2,Male,M,536,41728672,1.3
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,Male,M,478,41728672,1.1
,Firearm,GRINJ-006,Homicide,3,Female,F,444,39845289,1.1
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,Male,M,409,41728672,1.0
,Suffocation,GRINJ-017,Suicide,2,Female,F,372,39845289,0.9
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,Female,F,367,39845289,0.9
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,Female,F,299,39845289,0.8
,Drowning,GRINJ-002,Unintentional,1,Female,F,261,39845289,0.7
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,Male,M,248,41728672,0.6
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,Female,F,223,39845289,0.6
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,Male,M,209,41728672,0.5
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,Male,M,183,41728672,0.4
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,Female,F,173,39845289,0.4
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,Female,F,167,39845289,0.4
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,Male,M,155,41728672,0.4
