Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,9977,81573961,12.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,5056,81573961,6.2
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,3967,81573961,4.9
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,3195,81573961,3.9
,Firearm,GRINJ-006,Homicide,3,2947,81573961,3.6
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,2632,81573961,3.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,1829,81573961,2.2
,Poisoning,GRINJ-015,Unintentional,1,1580,81573961,1.9
,Suffocation,GRINJ-017,Unintentional,1,1334,81573961,1.6
,Firearm,GRINJ-006,Suicide,2,1253,81573961,1.5
,Drowning,GRINJ-002,Unintentional,1,960,81573961,1.2
,Suffocation,GRINJ-017,Suicide,2,908,81573961,1.1
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,845,81573961,1.0
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,708,81573961,0.9
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,471,81573961,0.6
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,376,81573961,0.5
,Non-Injury: Septicemia,GR113-010,"Non-Injury, no intent classified",9,356,81573961,0.4
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,306,81573961,0.4
,Fire/Flame,GRINJ-004,Unintentional,1,270,81573961,0.3
,Poisoning,GRINJ-015,Suicide,2,247,81573961,0.3
,Unspecified Injury,GRINJ-020,Homicide,3,239,81573961,0.3
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,234,81573961,0.3
,Other land transport,GRINJ-011,Unintentional,1,203,81573961,0.2
,Poisoning,GRINJ-015,Undetermined ,4,189,81573961,0.2
,Non-Injury: Intestinal infections,GR113 001-003,"Non-Injury, no intent classified",9,178,81573961,0.2
,Firearm,GRINJ-006,Unintentional,1,143,81573961,0.2
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,142,81573961,0.2
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,126,81573961,0.2
,Cut/Pierce,GRINJ-001,Homicide,3,117,81573961,0.1
,Fall,GRINJ-003,Suicide,2,109,81573961,0.1
