Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,White,2106-3,Male,M,3357,29519218,11.4
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,White,2106-3,Female,F,2616,28069688,9.3
,Motor Vehicle Traffic,GRINJ-008,White,2106-3,Male,M,2016,29519218,6.8
,Firearm,GRINJ-006,Black or African American,2054-5,Male,M,1946,6401519,30.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,White,2106-3,Male,M,1912,29519218,6.5
,Firearm,GRINJ-006,White,2106-3,Male,M,1667,29519218,5.6
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,White,2106-3,Female,F,1652,28069688,5.9
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Black or African American,2054-5,Male,M,1642,6401519,25.7
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Black or African American,2054-5,Female,F,1347,6224035,21.6
,Non-Injury: All other diseases (Residual),GR113-111,White,2106-3,Male,M,987,29519218,3.3
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,White,2106-3,Male,M,970,29519218,3.3
,Poisoning,GRINJ-015,White,2106-3,Male,M,895,29519218,3.0
,Motor Vehicle Traffic,GRINJ-008,White,2106-3,Female,F,892,28069688,3.2
,Suffocation,GRINJ-017,White,2106-3,Male,M,887,29519218,3.0
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,White,2106-3,Male,M,752,29519218,2.5
,Non-Injury: All other diseases (Residual),GR113-111,White,2106-3,Female,F,749,28069688,2.7
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,White,2106-3,Female,F,701,28069688,2.5
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Black or African American,2054-5,Male,M,671,6401519,10.5
,Suffocation,GRINJ-017,White,2106-3,Female,F,588,28069688,2.1
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,White,2106-3,Female,F,588,28069688,2.1
,Poisoning,GRINJ-015,White,2106-3,Female,F,559,28069688,2.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Black or African American,2054-5,Female,F,530,6224035,8.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Black or African American,2054-5,Male,M,526,6401519,8.2
,Motor Vehicle Traffic,GRINJ-008,Black or African American,2054-5,Male,M,502,6401519,7.8
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Black or African American,2054-5,Female,F,498,6224035,8.0
,Drowning,GRINJ-002,White,2106-3,Male,M,447,29519218,1.5
,Non-Injury: All other diseases (Residual),GR113-111,Black or African American,2054-5,Male,M,354,6401519,5.5
,Suffocation,GRINJ-017,Black or African American,2054-5,Male,M,316,6401519,4.9
,Firearm,GRINJ-006,White,2106-3,Female,F,309,28069688,1.1
,Non-Injury: Diseases of Heart,GR113 055-068,White,2106-3,Male,M,309,29519218,1.0
,Suffocation,GRINJ-017,Black or African American,2054-5,Female,F,291,6224035,4.7
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,More than one race,M,Male,M,274,2473608,11.1
,Firearm,GRINJ-006,Black or African American,2054-5,Female,F,272,6224035,4.4
,Poisoning,GRINJ-015,Black or African American,2054-5,Male,M,271,6401519,4.2
,Motor Vehicle Traffic,GRINJ-008,Black or African American,2054-5,Female,F,267,6224035,4.3
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,White,2106-3,Male,M,254,29519218,0.9
,Non-Injury: All other diseases (Residual),GR113-111,Black or African American,2054-5,Female,F,246,6224035,4.0
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Asian,A,Male,M,218,2477040,8.8
,Drowning,GRINJ-002,Black or African American,2054-5,Male,M,216,6401519,3.4
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,More than one race,M,Female,F,212,2370648,8.9
,Non-Injury: Diseases of Heart,GR113 055-068,White,2106-3,Female,F,207,28069688,0.7
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,White,2106-3,Female,F,190,28069688,0.7
,Drowning,GRINJ-002,White,2106-3,Female,F,182,28069688,0.6
,Poisoning,GRINJ-015,Black or African American,2054-5,Female,F,181,6224035,2.9
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Asian,A,Female,F,167,2357677,7.1
,Other land transport,GRINJ-011,White,2106-3,Male,M,156,29519218,0.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Black or African American,2054-5,Female,F,154,6224035,2.5
,Non-Injury: Influenza & Pneumonia,GR113 077-078,White,2106-3,Male,M,149,29519218,0.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Black or African American,2054-5,Male,M,141,6401519,2.2
,Non-Injury: Influenza & Pneumonia,GR113 077-078,White,2106-3,Female,F,135,28069688,0.5
,Non-Injury: Diseases of Heart,GR113 055-068,Black or African American,2054-5,Male,M,133,6401519,2.1
,Non-Injury: Other diseases of respiratory system,GR113-089,White,2106-3,Male,M,129,29519218,0.4
,Unspecified Injury,GRINJ-020,White,2106-3,Male,M,120,29519218,0.4
,Non-Injury: Diseases of Heart,GR113 055-068,Black or African American,2054-5,Female,F,114,6224035,1.8
,Fire/Flame,GRINJ-004,White,2106-3,Male,M,113,29519218,0.4
,Non-Injury: Septicemia,GR113-010,White,2106-3,Male,M,113,29519218,0.4
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,More than one race,M,Male,M,112,2473608,4.5
,Fall,GRINJ-003,White,2106-3,Male,M,112,29519218,0.4
,Non-Injury: Other diseases of respiratory system,GR113-089,White,2106-3,Female,F,109,28069688,0.4
,Firearm,GRINJ-006,More than one race,M,Male,M,106,2473608,4.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,More than one race,M,Female,F,103,2370648,4.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,More than one race,M,Male,M,103,2473608,4.2
,Fire/Flame,GRINJ-004,White,2106-3,Female,F,101,28069688,0.4
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Black or African American,2054-5,Male,M,100,6401519,1.6
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,White,2106-3,Female,F,100,28069688,0.4
,Non-Injury: Septicemia,GR113-010,White,2106-3,Female,F,97,28069688,0.3
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,White,2106-3,Male,M,95,29519218,0.3
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Black or African American,2054-5,Male,M,93,6401519,1.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Asian,A,Male,M,92,2477040,3.7
,"Other specified, classifiable Injury",GRINJ-018,White,2106-3,Male,M,89,29519218,0.3
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Asian,A,Female,F,85,2357677,3.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,More than one race,M,Female,F,85,2370648,3.6
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Black or African American,2054-5,Female,F,80,6224035,1.3
,Suffocation,GRINJ-017,More than one race,M,Male,M,78,2473608,3.2
,Motor Vehicle Traffic,GRINJ-008,More than one race,M,Male,M,74,2473608,3.0
,Drowning,GRINJ-002,Black or African American,2054-5,Female,F,73,6224035,1.2
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Black or African American,2054-5,Male,M,73,6401519,1.1
,Unspecified Injury,GRINJ-020,Black or African American,2054-5,Male,M,70,6401519,1.1
,Non-Injury: All other diseases (Residual),GR113-111,Asian,A,Male,M,69,2477040,2.8
,Firearm,GRINJ-006,Asian,A,Male,M,64,2477040,2.6
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Black or African American,2054-5,Female,F,64,6224035,1.0
,Poisoning,GRINJ-015,More than one race,M,Male,M,63,2473608,2.5
,Non-Injury: All other diseases (Residual),GR113-111,Asian,A,Female,F,62,2357677,2.6
,Non-Injury: Other diseases of respiratory system,GR113-089,Black or African American,2054-5,Male,M,62,6401519,1.0
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,White,2106-3,Male,M,61,29519218,0.2
,Suffocation,GRINJ-017,More than one race,M,Female,F,60,2370648,2.5
,Cut/Pierce,GRINJ-001,White,2106-3,Male,M,60,29519218,0.2
,Non-Injury: All other diseases (Residual),GR113-111,More than one race,M,Male,M,58,2473608,2.3
,Unspecified Injury,GRINJ-020,Black or African American,2054-5,Female,F,58,6224035,0.9
,Unspecified Injury,GRINJ-020,White,2106-3,Female,F,58,28069688,0.2
,Other land transport,GRINJ-011,White,2106-3,Female,F,57,28069688,0.2
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,American Indian or Alaska Native,1002-5,Male,M,56,715993,7.8
,Motor Vehicle Traffic,GRINJ-008,American Indian or Alaska Native,1002-5,Male,M,55,715993,7.7
,Other Pedestrian,GRINJ-010,White,2106-3,Male,M,55,29519218,0.2
,"Other specified, classifiable Injury",GRINJ-018,White,2106-3,Female,F,54,28069688,0.2
,Non-Injury: Septicemia,GR113-010,Black or African American,2054-5,Male,M,52,6401519,0.8
,Non-Injury: Chronic lower respiratory diseases,GR113 082,White,2106-3,Male,M,52,29519218,0.2
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,American Indian or Alaska Native,1002-5,Female,F,51,687498,7.4
,Struck by or against,GRINJ-016,White,2106-3,Male,M,50,29519218,0.2
,Non-Injury: Septicemia,GR113-010,Black or African American,2054-5,Female,F,49,6224035,0.8
,Firearm,GRINJ-006,American Indian or Alaska Native,1002-5,Male,M,48,715993,6.7
,"Other specified, not elsewhere classified Injury",GRINJ-019,White,2106-3,Male,M,48,29519218,0.2
,Non-Injury: Intestinal infections,GR113 001-003,White,2106-3,Male,M,48,29519218,0.2
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Asian,A,Male,M,47,2477040,1.9
,Non-Injury: All other diseases (Residual),GR113-111,More than one race,M,Female,F,46,2370648,1.9
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Black or African American,2054-5,Male,M,46,6401519,0.7
,Motor Vehicle Traffic,GRINJ-008,Asian,A,Male,M,45,2477040,1.8
,Non-Injury: Intestinal infections,GR113 001-003,White,2106-3,Female,F,45,28069688,0.2
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,White,2106-3,Female,F,45,28069688,0.2
,Non-Injury: Other diseases of respiratory system,GR113-089,Black or African American,2054-5,Female,F,44,6224035,0.7
