Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Gender
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Male,M,5571,41728672,13.4
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Female,F,4406,39845289,11.1
,Firearm,GRINJ-006,Male,M,3838,41728672,9.2
,Motor Vehicle Traffic,GRINJ-008,Male,M,2705,41728672,6.5
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Male,M,2672,41728672,6.4
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Female,F,2384,39845289,6.0
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Male,M,1820,41728672,4.4
,Non-Injury: All other diseases (Residual),GR113-111,Male,M,1507,41728672,3.6
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Female,F,1375,39845289,3.5
,Suffocation,GRINJ-017,Male,M,1356,41728672,3.2
,Poisoning,GRINJ-015,Male,M,1289,41728672,3.1
,Motor Vehicle Traffic,GRINJ-008,Female,F,1262,39845289,3.2
,Non-Injury: All other diseases (Residual),GR113-111,Female,F,1125,39845289,2.8
,Suffocation,GRINJ-017,Female,F,1010,39845289,2.5
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Male,M,992,41728672,2.4
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Female,F,837,39845289,2.1
,Poisoning,GRINJ-015,Female,F,814,39845289,2.0
,Drowning,GRINJ-002,Male,M,736,41728672,1.8
,Firearm,GRINJ-006,Female,F,632,39845289,1.6
,Non-Injury: Diseases of Heart,GR113 055-068,Male,M,478,41728672,1.1
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Male,M,409,41728672,1.0
,Non-Injury: Diseases of Heart,GR113 055-068,Female,F,367,39845289,0.9
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,Female,F,299,39845289,0.8
,Drowning,GRINJ-002,Female,F,283,39845289,0.7
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Male,M,248,41728672,0.6
,Non-Injury: Influenza & Pneumonia,GR113 077-078,Female,F,223,39845289,0.6
,Unspecified Injury,GRINJ-020,Male,M,212,41728672,0.5
,Non-Injury: Other diseases of respiratory system,GR113-089,Male,M,209,41728672,0.5
,Other land transport,GRINJ-011,Male,M,183,41728672,0.4
,Non-Injury: Septicemia,GR113-010,Male,M,183,41728672,0.4
,Non-Injury: Septicemia,GR113-010,Female,F,173,39845289,0.4
,Non-Injury: Other diseases of respiratory system,GR113-089,Female,F,167,39845289,0.4
,Fire/Flame,GRINJ-004,Male,M,166,41728672,0.4
,Fall,GRINJ-003,Male,M,165,41728672,0.4
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Male,M,155,41728672,0.4
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Male,M,155,41728672,0.4
,Fire/Flame,GRINJ-004,Female,F,151,39845289,0.4
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,Female,F,151,39845289,0.4
,"Other specified, classifiable Injury",GRINJ-018,Male,M,143,41728672,0.3
,Unspecified Injury,GRINJ-020,Female,F,132,39845289,0.3
,Cut/Pierce,GRINJ-001,Male,M,105,41728672,0.3
,"Other specified, classifiable Injury",GRINJ-018,Female,F,91,39845289,0.2
,Non-Injury: Intestinal infections,GR113 001-003,Female,F,90,39845289,0.2
,"Other specified, not elsewhere classified Injury",GRINJ-019,Male,M,89,41728672,0.2
,Non-Injury: Intestinal infections,GR113 001-003,Male,M,88,41728672,0.2
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Male,M,80,41728672,0.2
,Non-Injury: Chronic lower respiratory diseases,GR113 082,Female,F,79,39845289,0.2
,Other land transport,GRINJ-011,Female,F,77,39845289,0.2
,Other Pedestrian,GRINJ-010,Male,M,73,41728672,0.2
,Non-Injury: Diabetes mellitus,GR113-046,Male,M,68,41728672,0.2
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,Female,F,62,39845289,0.2
,Non-Injury: Meningitis,GR113-050,Male,M,59,41728672,0.1
,Non-Injury: Diabetes mellitus,GR113-046,Female,F,58,39845289,0.1
,Natural/Environmental,GRINJ-013,Male,M,57,41728672,0.1
,Struck by or against,GRINJ-016,Male,M,54,41728672,0.1
,Fall,GRINJ-003,Female,F,48,39845289,0.1
