Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Urbanization
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,2013 Urbanization,2013 Urbanization Code,Deaths
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Large Central Metro,1,3191
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Medium Metro,3,2300
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Large Fringe Metro,2,2214
,Firearm,GRINJ-006,Large Central Metro,1,1608
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Large Central Metro,1,1548
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Medium Metro,3,1140
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Large Fringe Metro,2,1112
,Firearm,GRINJ-006,Medium Metro,3,993
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Large Central Metro,1,969
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Small Metro,4,962
,Motor Vehicle Traffic,GRINJ-008,Medium Metro,3,899
,Motor Vehicle Traffic,GRINJ-008,Large Central Metro,1,888
,Motor Vehicle Traffic,GRINJ-008,Large Fringe Metro,2,810
,Firearm,GRINJ-006,Large Fringe Metro,2,785
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,Micropolitan (Nonmetro),5,777
,Non-Injury: All other diseases (Residual),GR113-111,Large Central Metro,1,763
,Poisoning,GRINJ-015,Large Central Metro,1,715
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Medium Metro,3,703
,Non-Injury: All other diseases (Residual),GR113-111,Medium Metro,3,616
,Non-Injury: All other diseases (Residual),GR113-111,Large Fringe Metro,2,595
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,Large Fringe Metro,2,572
,Suffocation,GRINJ-017,Medium Metro,3,558
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Large Central Metro,1,554
,Suffocation,GRINJ-017,Large Central Metro,1,545
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,NonCore (Nonmetro),6,533
,Suffocation,GRINJ-017,Large Fringe Metro,2,528
,Motor Vehicle Traffic,GRINJ-008,Micropolitan (Nonmetro),5,496
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Small Metro,4,486
,Poisoning,GRINJ-015,Large Fringe Metro,2,481
,Poisoning,GRINJ-015,Medium Metro,3,461
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,Micropolitan (Nonmetro),5,459
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Large Fringe Metro,2,441
,Motor Vehicle Traffic,GRINJ-008,Small Metro,4,437
,Motor Vehicle Traffic,GRINJ-008,NonCore (Nonmetro),6,437
,Firearm,GRINJ-006,Small Metro,4,429
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,Medium Metro,3,423
