Underlying Cause of Death, 2023, age 0-19, Injury Mechanism
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Deaths,Population,Crude Rate
Total,,,42986,81573961,52.7
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,9977,81573961,12.2
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,5056,81573961,6.2
,Firearm,GRINJ-006,4470,81573961,5.5
,Motor Vehicle Traffic,GRINJ-008,3967,81573961,4.9
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,3195,81573961,3.9
,Non-Injury: All other diseases (Residual),GR113-111,2632,81573961,3.2
,Suffocation,GRINJ-017,2366,81573961,2.9
,Poisoning,GRINJ-015,2103,81573961,2.6
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,1829,81573961,2.2
,Drowning,GRINJ-002,1019,81573961,1.2
,Non-Injury: Diseases of Heart,GR113 055-068,845,81573961,1.0
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,708,81573961,0.9
,Non-Injury: Influenza & Pneumonia,GR113 077-078,471,81573961,0.6
,Non-Injury: Other diseases of respiratory system,GR113-089,376,81573961,0.5
,Non-Injury: Septicemia,GR113-010,356,81573961,0.4
,Unspecified Injury,GRINJ-020,344,81573961,0.4
,Fire/Flame,GRINJ-004,317,81573961,0.4
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,306,81573961,0.4
,Other land transport,GRINJ-011,260,81573961,0.3
,"Other specified, classifiable Injury",GRINJ-018,234,81573961,0.3
,Non-Injury: Chronic lower respiratory diseases,GR113 082,234,81573961,0.3
,Fall,GRINJ-003,213,81573961,0.3
,Non-Injury: Intestinal infections,GR113 001-003,178,81573961,0.2
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,142,81573961,0.2
,Cut/Pierce,GRINJ-001,134,81573961,0.2
,"Other specified, not elsewhere classified Injury",GRINJ-019,133,81573961,0.2
,Non-Injury: Diabetes mellitus,GR113-046,126,81573961,0.2
,Non-Injury: Meningitis,GR113-050,101,81573961,0.1
,Natural/Environmental,GRINJ-013,99,81573961,0.1
,Other Pedestrian,GRINJ-010,95,81573961,0.1
,Struck by or against,GRINJ-016,80,81573961,0.1
,Non-Injury: Anemias,GR113-045,76,81573961,0.1
