Report Year,OASDI Depletion Year,Years Remaining,YoY Difference,,,
1982,1983,1,,,,
1983,2099,116,-116,,,
1984,2099,115,0,,,
1985,2049,64,50,,,
1986,2051,65,-2,,,
1987,2051,64,0,,,
1988,2048,60,3,,,
1989,2046,57,2,,,
1990,2043,53,3,,,
1991,2041,50,2,,,
1992,2036,44,5,,,
1993,2036,43,0,,,
1994,2029,35,7,,,
1995,2030,35,-1,,,
1996,2029,33,1,,,
1997,2029,32,0,,,
1998,2032,34,-3,,,
1999,2034,35,-2,,,
2000,2037,37,-3,,,
2001,2038,37,-1,,,
2002,2041,39,-3,,,
2003,2042,39,-1,,,
2004,2042,38,0,,,
2005,2041,36,1,,,
2006,2040,34,1,,,
2007,2041,34,-1,,,
2008,2041,33,0,,,
2009,2037,28,4,,,
2010,2037,27,0,,,
2011,2036,25,1,,,
2012,2033,21,3,,,
2013,2033,20,0,,,
2014,2033,19,0,,,
2015,2034,19,-1,,,
2016,2034,18,0,,,
2017,2034,17,0,,,
2018,2034,16,0,,,
2019,2035,16,-1,,,
2020,2035,15,0,,,
2021,2034,13,1,,,
2022,2035,13,-1,,,
2023,2034,11,1,,,
2024,2035,11,-1,,,
2025,2034,9,1,,,
2026,2034,8,1,,,
